deoxy,55,4114579,/linshokaku,expert,48892.0,2019-11-27T11:07:03.123Z,1,1,0
takuoko,56,841938,/takuok,grandmaster,48780.0,2016-12-20T02:59:39.883Z,5,7,7
Hikkiiiiiiiii,57,1109229,/wochidadonggua,grandmaster,48617.0,2017-06-05T01:11:15.067Z,5,2,3
Matt Motoki,58,331718,/mmotoki,master,47680.0,2015-04-11T19:23:39.363Z,3,14,7
Miras Amir,59,413252,/amiras,grandmaster,47656.0,2015-09-05T16:07:34.633Z,5,7,0
Nanashi,60,2779868,/jesucristo,expert,47564.0,2019-02-04T18:37:32.493Z,0,11,8
KeepLearning,61,1039460,/mathormad,grandmaster,46891.0,2017-04-24T02:38:16.413Z,5,13,8
Xuan Cao,62,999074,/naivelamb,grandmaster,46840.0,2017-03-31T15:21:17.997Z,7,7,1
Vopani,63,113389,/rohanrao,grandmaster,46738.0,2013-07-09T05:35:42.833Z,8,13,6
Yuanhao,64,1289116,/wuyhbb,grandmaster,46733.0,2017-09-25T02:41:57.473Z,8,7,2
Bac Nguyen,65,1938879,/backaggle,master,46689.0,2018-05-24T08:57:57.727Z,4,12,9
Aimoldin Anuar [dsmlkz] ,66,536790,/sneddy,master,46675.0,2016-02-23T17:08:27.487Z,3,6,2
Maciej Sypetkowski,67,2631834,/maciejsypetkowski,master,45789.0,2018-12-19T20:49:32.947Z,2,5,0
Ian Pan,68,281652,/vaillant,master,45750.0,2015-01-14T20:23:09.507Z,4,5,0
Eureka,69,170170,/pengyan,grandmaster,45556.0,2014-02-28T16:23:47.597Z,23,28,6
Abhishek Thakur,70,5309,/abhishek,grandmaster,45547.0,2011-01-12T03:44:52Z,19,31,21
Tom,71,1565399,/tikutiku,master,45137.0,2018-01-19T14:53:24.917Z,2,5,1
Ouranos,72,219107,/ouranos,master,45023.0,2014-07-26T16:23:13.223Z,4,21,8
乔世吉(Shiji Qiao),73,847605,/qiaoshiji,grandmaster,44727.0,2016-12-26T09:08:54.357Z,6,6,8
Anatidae,74,4032745,/anatidae,expert,44094.0,2019-11-14T02:33:01.73Z,1,1,0
Dmitry Larko,75,64274,/dmitrylarko,grandmaster,43702.0,2012-10-20T07:28:36.447Z,15,15,7
Adel Valiullin,76,541970,/mystery,expert,43001.0,2016-02-28T17:07:17.647Z,0,9,16
30CrMnSiA,77,854613,/h4211819,grandmaster,42967.0,2017-01-03T13:36:56.717Z,7,8,2
Alvor,78,1562115,/allvor,master,42931.0,2018-01-18T13:37:20.56Z,3,11,4
Appian,79,2073090,/appian,master,42899.0,2018-07-16T16:59:14.49Z,2,12,0
zr,80,996327,/mzr2017,grandmaster,42707.0,2017-03-30T07:56:38.917Z,5,5,1
rafiko1,81,474194,/rafiko1,master,42671.0,2015-11-25T13:27:56.287Z,1,2,1
Tom57,82,164867,/thomastilli,master,42552.0,2014-02-11T07:41:51.247Z,3,9,9
tarobxl,83,617508,/tarobxl,grandmaster,42147.0,2016-05-19T08:56:22.593Z,6,12,11
Weimin Wang,84,204232,/weimin,grandmaster,42018.0,2014-06-04T04:54:54.147Z,10,8,3
felixoneberlin,85,478286,/felixoneberlin,expert,41826.0,2015-12-01T10:00:27.96Z,2,0,0
b.e.s.,86,304662,/ybabakhin,grandmaster,41502.0,2015-03-04T20:59:05.397Z,7,3,6
Arthur  Llau,87,487776,/arthurllau,master,41373.0,2015-12-15T10:08:47.85Z,2,13,18
toshi_k,88,172060,/toshik,master,41296.0,2014-03-07T09:16:25.897Z,4,19,5
R Guo,89,3601023,/rguo97,master,41198.0,2019-08-20T05:05:42.937Z,3,2,1
Luca Massaron,90,19298,/lucamassaron,master,41124.0,2011-10-26T10:46:25.573Z,4,33,42
James Davis,91,2048252,/lorentztrans,expert,40990.0,2018-07-06T13:23:13.193Z,1,1,0
Pavel Ostyakov,92,537017,/pavelost,grandmaster,40762.0,2016-02-23T21:42:02.607Z,8,2,2
Jiwei Liu,93,100236,/jiweiliu,grandmaster,40210.0,2013-05-09T03:27:56.19Z,16,28,11
Ilu,94,2675447,/ilu000,master,40155.0,2019-01-05T19:17:10.167Z,3,4,2
Gary,95,1270655,/garybios,grandmaster,39924.0,2017-09-16T06:45:04.867Z,6,7,0
fam_taro,96,1670024,/yukkyo,master,39856.0,2018-02-26T13:25:55.14Z,2,2,0
YouHan Lee,97,1155353,/youhanlee,master,39768.0,2017-07-05T10:34:03.92Z,5,8,8
ouyangxuan,98,1377178,/oyxuan,master,39446.0,2017-10-31T08:55:02.917Z,3,5,0
phalanx,99,1620223,/phalanx,master,39293.0,2018-02-08T08:37:26.877Z,4,5,0
Light,100,1134767,/berserker408,master,39277.0,2017-06-21T00:50:53.907Z,4,10,4
Kyle Lee,101,495818,/kylelee,grandmaster,39266.0,2015-12-30T14:30:03.743Z,8,10,3
raddar,102,405318,/raddar,grandmaster,39095.0,2015-08-24T11:49:01.703Z,11,15,7
tereka,103,282250,/tereka,master,39056.0,2015-01-16T11:42:45.557Z,3,16,4
Marek Nurzynski,104,887797,/marek3000,expert,38977.0,2017-01-28T18:27:30.023Z,0,2,15
Vicens Gaitan,105,254638,/vicensgaitan,master,38703.0,2014-11-04T17:23:33.797Z,4,22,9
TerenceLiu,106,1113035,/terenceliu4444,grandmaster,38190.0,2017-06-07T01:26:22.64Z,6,9,3
Eugene Khvedchenya,107,1504864,/bloodaxe,master,38106.0,2017-12-19T08:38:54.55Z,4,2,3
Atanas Atanasov,108,1183600,/atanasova,master,37994.0,2017-07-24T15:07:51.64Z,2,23,9
ValeriyBabushkin,109,689824,/venheads,grandmaster,37814.0,2016-08-18T12:49:33.73Z,6,21,4
Nat Bel ML Fun,110,647078,/natbel4ml,expert,37771.0,2016-06-22T18:26:41.807Z,0,10,16
DavidGbodiOdaibo,111,369212,/godaibo,grandmaster,37620.0,2015-06-16T16:37:47.633Z,5,13,10
arutema47,112,3508221,/kyoshioka47,master,37516.0,2019-07-26T01:09:51.253Z,1,2,2
Yiheng (Venn) Wang,113,682501,/yiheng,master,37466.0,2016-08-09T01:58:46.357Z,5,11,2
Sergey Bryansky,114,502737,/sggpls,master,37386.0,2016-01-12T13:12:27.87Z,4,7,4
Dmitry Kozlov,115,407669,/dkozlov,expert,37259.0,2015-08-28T06:19:11.407Z,0,7,9
Rob Mulla,116,644036,/robikscube,master,37237.0,2016-06-18T17:07:06.333Z,2,7,7
lyakaap,117,1191573,/lyakaap,grandmaster,37098.0,2017-07-29T14:03:24.063Z,5,4,3
Kha Vo,118,1829450,/khahuras,master,36954.0,2018-04-17T08:43:26.983Z,5,6,0
Isamu Yamashita,119,1478649,/yamsam,master,36923.0,2017-12-07T10:06:58.967Z,1,4,1
Cola,120,299743,/kelexu,grandmaster,36621.0,2015-02-23T21:29:50.207Z,9,19,8
Ruslan Baikulov,121,532347,/romul0212,grandmaster,35318.0,2016-02-18T07:33:40.91Z,5,4,0
kojimar,122,1799540,/kojimar,expert,35271.0,2018-04-08T10:13:44.813Z,0,4,7
Evgeny Patekha,123,520839,/johnpateha,grandmaster,35108.0,2016-02-04T09:56:56.293Z,9,5,1
louis,124,3368256,/darkcoeus,master,35093.0,2019-06-19T09:51:06.837Z,4,0,0
Andrey Kiryasov,125,505196,/ekydna,grandmaster,35045.0,2016-01-15T18:52:53.68Z,5,10,1
Nooh,126,770427,/nuhsikander,expert,34970.0,2016-10-28T15:42:07.857Z,0,7,13
Kishore M,127,550852,/reachkishore,expert,34819.0,2016-03-08T07:15:10.84Z,0,3,12
shimacos,128,1227363,/shimacos,master,34648.0,2017-08-22T15:43:02.923Z,2,3,4
Dmytro Poplavskiy,129,743064,/dmytropoplavskiy,grandmaster,34577.0,2016-10-07T11:53:20.113Z,9,1,0
avsanjay,130,1108660,/avsanjay,master,34492.0,2017-06-04T14:36:24.89Z,1,6,2
yabea,131,1846168,/yukia18,master,34451.0,2018-04-22T14:35:19.143Z,2,3,0
Azat Davletshin,132,409174,/davletag,master,34292.0,2015-08-31T09:19:45.12Z,3,2,2
Khoi Nguyen,133,1577135,/suicaokhoailang,master,34149.0,2018-01-24T03:17:27.327Z,4,3,2
heartkilla,134,2000545,/aruchomu,expert,34145.0,2018-06-17T14:53:39.8Z,1,1,2
fakeplastictrees,135,168767,/fakeplastictrees,grandmaster,34082.0,2014-02-24T14:34:38.62Z,8,12,2
Little Boat,136,189197,/xiaozhouwang,grandmaster,34078.0,2014-04-20T02:13:51Z,18,19,6
mark4h,137,1199911,/mark4h,master,34061.0,2017-08-03T20:46:14.827Z,2,3,1
Max Jeblick,138,1435684,/maxjeblick,master,34050.0,2017-11-21T13:19:27.807Z,3,3,2
Sergei Fironov,139,71783,/sergeifironov,grandmaster,34043.0,2012-11-30T06:01:57.243Z,8,2,5
hmdhmd,140,514062,/hmdhmd,master,33716.0,2016-01-27T10:53:31.873Z,3,7,1
Jan Bre,141,2685252,/jpbremer,master,33648.0,2019-01-08T19:51:37.95Z,2,3,3
Mickey,142,131304,/symyksr,master,33625.0,2013-10-05T07:33:35.53Z,3,19,11
scumed,143,3489134,/scusywxy,master,33564.0,2019-07-21T15:18:52.1Z,3,0,2
Cl_ev,144,493601,/cl2ev1,expert,33457.0,2015-12-25T22:22:15.503Z,2,0,1
monty ponty,145,670145,/dmitriyab,master,33369.0,2016-07-25T07:22:29.03Z,2,3,0
lingyundev,146,577759,/lingyundev,master,33365.0,2016-04-06T08:01:03.407Z,6,1,0
Nick Mamonov,147,4598059,/nickmamonov,expert,33303.0,2020-03-03T10:25:43.997Z,1,1,0
Antonio Marin,148,379255,/amezet,expert,33257.0,2015-07-07T08:09:25.927Z,0,6,7
nosound,149,2243477,/zaharch,master,33030.0,2018-09-13T11:08:57.9Z,4,3,2
Manuel Campos,150,1454111,/coreacasa,master,32906.0,2017-11-28T17:56:47.47Z,1,11,8
senkin13,151,715257,/senkin13,grandmaster,32850.0,2016-09-14T14:24:24.05Z,6,4,3
neongen,152,595758,/neongen,master,32781.0,2016-04-24T18:35:13.297Z,2,16,12
Costas Voglis,153,281494,/voglinio,master,32675.0,2015-01-14T11:23:59.957Z,3,16,7
Chahhou Mohamed,154,135296,/mchahhou,grandmaster,32572.0,2013-10-19T22:37:51.46Z,7,9,2
Jack (Japan),155,169364,/rsakata,grandmaster,32034.0,2014-02-26T08:20:24.073Z,5,11,5
KaizaburoChubachi,156,408648,/zaburo,master,31839.0,2015-08-30T12:04:13.21Z,2,5,1
Miroslav Valan,157,1556833,/valanm,expert,31809.0,2018-01-16T23:33:29.5Z,0,6,8
Kirderf,158,3924325,/kirderf,expert,31664.0,2019-10-25T08:00:38.233Z,0,0,4
Renjie Qian,159,1142083,/rjqian,expert,31610.0,2017-06-26T08:32:54.827Z,1,1,0
anokas,160,505747,/anokas,grandmaster,31447.0,2016-01-16T21:02:01.33Z,9,9,5
Ceshine Lee,161,101136,/ceshine,master,31416.0,2013-05-14T14:55:10.007Z,1,17,12
Patrick Yam,162,1904629,/wimwim,master,31346.0,2018-05-11T19:03:32.543Z,1,3,1
Darragh,163,213493,/darraghdog,grandmaster,31282.0,2014-07-03T17:07:48.4Z,11,10,2
YaGana Sheriff-Hussaini,164,898111,/sheriytm,expert,31244.0,2017-02-05T02:13:28.57Z,0,15,15
Draconda,165,2730705,/ryunosukeishizaki,master,30908.0,2019-01-22T10:04:43.413Z,3,6,1
Nikolay Prokoptsev,166,1293752,/nprokoptsev,master,30736.0,2017-09-26T19:36:46.897Z,2,3,2
Helgi,167,405208,/helgith,master,30582.0,2015-08-24T07:55:41.703Z,1,8,7
Kage_Yonko,168,3015190,/projdev,expert,30465.0,2019-03-30T11:43:55.61Z,0,4,6
toxu,169,696031,/tonyxu,master,30307.0,2016-08-25T14:50:57.067Z,3,1,0
daishu,170,1098915,/daishu,grandmaster,30293.0,2017-05-29T15:42:42.893Z,6,3,1
NguyenThanhNhan,171,1134433,/andy2709,master,30287.0,2017-06-20T18:24:13.91Z,3,9,1
Konstantin Yakovlev,172,2405813,/kyakovlev,master,30282.0,2018-10-25T10:51:54.16Z,1,4,1
monsaraida,173,2668122,/monsaraida,expert,30025.0,2019-01-03T09:50:59.32Z,1,1,3
Kun Hao Yeh,174,1264580,/khyeh0719,master,29976.0,2017-09-13T09:56:52.303Z,5,8,2
cuicheng,175,3075110,/slimcat,master,29901.0,2019-04-11T16:30:40.25Z,4,0,0
‎,176,113660,/hengck23,master,29687.0,2013-07-11T03:08:38.677Z,4,8,3
spongebob,177,983147,/baomengjiao,grandmaster,29499.0,2017-03-23T02:51:17.263Z,6,10,1
yuval reina,178,1552664,/yuval6967,grandmaster,29310.0,2018-01-15T11:56:04.38Z,5,2,0
James Trotman,179,347463,/jtrotman,master,29306.0,2015-05-05T16:00:57.387Z,2,30,12
Konstantin Nikolaev,180,1053903,/kostoglot,master,29285.0,2017-05-02T13:15:20.99Z,2,5,0
Yury Kashnitsky,181,178864,/kashnitsky,master,29256.0,2014-03-27T13:30:04.747Z,1,5,2
hiromu,182,1497263,/hiromoon166,master,29192.0,2017-12-15T05:24:44.75Z,2,2,1
Shai,183,795565,/sgalib,grandmaster,29017.0,2016-11-16T02:07:35.947Z,5,9,3
DrHB,184,991320,/drhabib,master,28977.0,2017-03-27T22:37:48.093Z,3,3,3
Meng Di,185,2336958,/hughshaoqz,master,28953.0,2018-10-08T17:23:18.4Z,4,5,1
Michael Jahrer,186,1455,/mjahrer,grandmaster,28692.0,2010-06-25T21:54:51Z,16,11,3
Lawrence Chernin,187,68882,/lawrencechernin,expert,28552.0,2012-11-11T22:33:09.457Z,0,4,15
huiqin,188,1087759,/qinhui1999,master,28302.0,2017-05-23T02:32:17.427Z,4,7,9
Wenjing Zhang,189,3701925,/nywenjing,expert,28274.0,2019-09-13T02:31:18.78Z,1,1,0
<^..^>,190,1156413,/brightertiger,master,28167.0,2017-07-06T02:56:24.577Z,2,11,3
Pietro Marinelli,191,88922,/pietromarinelli,expert,27979.0,2013-03-08T11:16:35.31Z,0,14,18
Niranjan Nakkala,192,373093,/niranjanmudhiraj,expert,27938.0,2015-06-25T10:20:36Z,0,1,8
Komaki,193,69060,/ckomaki,grandmaster,27884.0,2012-11-13T02:47:47.523Z,5,7,3
Bo,194,1120704,/boliu0,grandmaster,27805.0,2017-06-11T18:32:07.8Z,7,3,4
weiwei,195,588067,/shixw125,grandmaster,27801.0,2016-04-16T03:47:27.027Z,9,6,4
